op_type, op_index, network_size, n_connections, total_time
lookup, 8389, 2958, 8, 6.759021619925193
join, 8390, 2959, 303, 219.77264130663818
lookup, 8391, 2959, 5, 5.867399222949456
join, 8392, 2960, 302, 235.73544304919668
join, 8393, 2961, 339, 268.01570967601367
join, 8394, 2962, 311, 252.10520186448682
join, 8395, 2963, 319, 222.41582762453348
lookup, 8396, 2963, 10, 6.529157110507555
lookup, 8397, 2963, 9, 7.189993103315673
lookup, 8398, 2963, 9, 5.504988880078924
lookup, 8399, 2963, 7, 3.9854658831715977
join, 8400, 2964, 308, 284.9461270649879
lookup, 8401, 2964, 7, 3.6268369173156128
lookup, 8402, 2964, 9, 5.995758638477961
lookup, 8403, 2964, 8, 5.564008706101355
lookup, 8404, 2964, 6, 3.361918192279436
lookup, 8405, 2964, 6, 4.8985337800473685
lookup, 8406, 2964, 12, 8.282552977038346
lookup, 8407, 2964, 9, 8.877402176379904
join, 8408, 2965, 303, 227.1898492670335
join, 8409, 2966, 316, 320.89644345186963
join, 8410, 2967, 308, 235.29488811123113
join, 8411, 2968, 300, 261.76472905495876
lookup, 8412, 2968, 5, 4.1072461550796495
lookup, 8413, 2968, 9, 6.909877596572205
join, 8414, 2969, 331, 273.2781485457447
lookup, 8415, 2969, 9, 8.250172516261545
lookup, 8416, 2969, 7, 3.782954923072332
lookup, 8417, 2969, 6, 5.612483032416243
join, 8418, 2970, 308, 256.89266613622533
lookup, 8419, 2970, 7, 4.996056473334381
lookup, 8420, 2970, 8, 6.554125579853893
lookup, 8421, 2970, 8, 5.019495297966185
lookup, 8422, 2970, 9, 11.132456304101488
lookup, 8423, 2970, 6, 2.863305274526436
lookup, 8424, 2970, 9, 6.370652564137186
lookup, 8425, 2970, 9, 10.49881989372421
lookup, 8426, 2970, 7, 5.956633452650576
join, 8427, 2971, 331, 220.89115842892645
lookup, 8428, 2971, 7, 7.769178034625511
lookup, 8429, 2971, 10, 9.269522341190205
